participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,15,14.0,şüphelenirler,şüphelenirler,1,259.0,forward,2,2133.0,2392.0,True,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,16,15.0,bir,bir,0,920.0,backward,1,702.0,1622.0,True,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,17,20.0,şeye,şeye,0,559.0,forward,0,0.0,559.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,18,21.0,weißt,weißt,1,405.0,forward,0,0.0,405.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,5,4,cs_tr_de_1,19,22.0,du!,du!,0,563.0,forward,0,0.0,563.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,1,0.0,Ondan,Ondan,0,655.0,forward,0,0.0,655.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,2,1.0,sonra,sonra,0,244.0,forward,0,0.0,244.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,3,2.0,dedim,dedim,0,835.0,forward,0,0.0,835.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,4,3.0,şimdi.,şimdi.,0,476.0,forward,0,0.0,476.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,5,4.0,Vielleicht,Vielleicht,1,520.0,forward,0,0.0,520.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,6,5.0,will,will,0,447.0,forward,0,0.0,447.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,7,6.0,"der,",der%2C,0,248.0,forward,0,0.0,248.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,8,7.0,ich,ich,0,333.0,forward,0,0.0,333.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,9,8.0,total,total,0,282.0,forward,0,0.0,282.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,10,9.0,bescheuert,bescheuert,0,292.0,forward,0,0.0,292.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,11,10.0,vielleicht,vielleicht,0,655.0,forward,0,0.0,655.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,12,11.0,dedim.,dedim.,1,478.0,forward,0,0.0,478.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,13,12.0,Vielleicht,Vielleicht,1,450.0,forward,0,0.0,450.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,14,13.0,will,will,0,396.0,forward,0,0.0,396.0,False,False,ok,suitable,0.057692307692307696,0.9423076923076923
