participant_id,participant_hash,item_order,latin_square_group,experimental_condition,word_position,word_index_0based,word,word_raw,cs_point,first_pass_reading_time,first_pass_move_direction,num_reread_events,rereading_time,total_reading_time,had_regression,newline_flag,parse_status,suitability,error_rate,accuracy,surprisal,surprisal_z,log_reading_time,surprisal_raw
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,12,11.0,dedim.,dedim.,1,478.0,forward,0,0.0,478.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,27.925161482451134,0.8548984135628099,6.169610732491456,27.925161482451134
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,13,12.0,Vielleicht,Vielleicht,1,450.0,forward,0,0.0,450.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,8.904630829312866,-1.0350355307973549,6.1092475827643655,8.904630829312866
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,14,13.0,will,will,0,396.0,forward,0,0.0,396.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,3.938970935436768,-1.5284376004202604,5.981414211254481,3.938970935436768
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,15,14.0,ich,ich,0,601.0,forward,0,0.0,601.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,7.80206587703528,-1.1445895157608317,6.398594934535208,7.80206587703528
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,16,15.0,die,die,0,282.0,forward,0,0.0,282.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,21.271914947677693,0.193812942522584,5.641907070938114,21.271914947677693
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,17,16.0,vergiften,vergiften,0,433.0,forward,0,0.0,433.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,38.59290135016944,1.9148753434009138,6.07073772800249,38.59290135016944
Bemule16,be555773996213fb9bd87c773ae933c2,6,5,cs_tr_de_1,18,17.0,falan.,falan.,1,565.0,forward,0,0.0,565.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,26.27918019651992,0.6913490383749136,6.336825731146441,26.27918019651992
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,2,1.0,de,de,0,2970.0,forward,0,0.0,2970.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,14.562159041414354,-0.4728874601565548,7.996317231796746,14.562159041414354
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,3,2.0,ben,ben,0,401.0,forward,0,0.0,401.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,19.552528714635816,0.022969843318343366,5.993961427306569,19.552528714635816
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,4,3.0,"gelirken,",gelirken%2C,0,546.0,forward,0,0.0,546.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,36.6858971795095,1.7253899930764753,6.302618975744905,36.6858971795095
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,5,4.0,ich,ich,1,636.0,forward,0,0.0,636.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,31.938944871013227,1.25371933027056,6.455198563340122,31.938944871013227
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,6,5.0,hab,hab,0,376.0,forward,0,0.0,376.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,30.237835578243843,1.084692279758648,5.929589143389895,30.237835578243843
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,7,6.0,Dings,Dings,0,327.0,forward,0,0.0,327.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,36.67063062355771,1.7238730647198,5.7899601708972535,36.67063062355771
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,8,7.0,"böyle,",böyle%2C,1,349.0,forward,0,0.0,349.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,36.67519848276463,1.724326940183405,5.855071922202427,36.67519848276463
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,9,8.0,voll,voll,1,535.0,forward,0,0.0,535.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,32.562022880615906,1.3156301308579337,6.282266746896006,32.562022880615906
Bemule16,be555773996213fb9bd87c773ae933c2,7,6,cs_tr_de_1,10,9.0,Kassetten,Kassetten,0,386.0,forward,0,0.0,386.0,False,False,ok,suitable,0.0576923076923076,0.9423076923076924,26.366107107572017,0.6999863431311101,5.955837369464831,26.366107107572017
